"TimestampUtc","ElapsedSeconds","ProcessId","PrivateMiB","WorkingSetMiB","PeakWorkingSetMiB","HandleCount","ThreadCount","LargeLibraryItems","QueryCount","LastLargePageStart","LastLargePageReturned","ImageRequests","ActiveImages","PeakActiveImages","CompletedImages","CanceledImages","ImageBytesServed","InjectedPlaybackInfoFailures"
"2026-09-09T20:26:09.1042115+00:00","0.017","19652","402.12","418.77","419.07","1294","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:26:14.1587891+00:00","5.071","19652","402.91","419.53","419.53","1294","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:26:19.1840756+00:00","10.096","19652","403.18","419.8","419.8","1294","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:26:24.2004499+00:00","15.112","19652","403.44","419.82","419.82","1294","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:26:29.2085317+00:00","20.12","19652","403.7","420.06","420.06","1294","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:26:34.2215448+00:00","25.133","19652","403.96","420.3","420.31","1294","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:26:39.2362623+00:00","30.148","19652","404.89","421.24","421.24","1296","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:26:44.2456125+00:00","35.157","19652","405.42","421.71","421.73","1296","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:26:49.2741293+00:00","40.186","19652","405.42","421.71","421.73","1296","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:26:54.2886069+00:00","45.2","19652","406.47","422.77","422.77","1297","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:26:59.3009764+00:00","50.213","19652","406.61","422.89","422.89","1297","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:27:04.3118364+00:00","55.224","19652","407.39","423.61","423.69","1297","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:27:09.3194986+00:00","60.231","19652","407.4","423.68","423.69","1301","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:27:14.3344039+00:00","65.246","19652","407.66","423.94","423.94","1301","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:27:19.3436588+00:00","70.255","19652","408.45","424.7","424.7","1301","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:27:24.3648154+00:00","75.277","19652","408.52","424.77","424.77","1301","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:27:29.3853534+00:00","80.297","19652","408.92","425.15","425.17","1301","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:27:34.4021388+00:00","85.314","19652","409.52","425.72","425.72","1301","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:27:39.4188322+00:00","90.331","19652","409.79","426.03","426.03","1301","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:27:44.4283089+00:00","95.34","19652","410.57","426.77","426.77","1301","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:27:49.4423529+00:00","100.354","19652","410.91","427.13","427.13","1301","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:27:54.4510100+00:00","105.363","19652","411.04","427.19","427.19","1301","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:27:59.4702301+00:00","110.382","19652","411.57","427.75","427.75","1301","51","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:28:04.4899433+00:00","115.402","19652","411.87","428.14","428.29","1270","47","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:28:09.4964371+00:00","120.408","19652","411.87","428.14","428.29","1270","47","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:28:14.5118758+00:00","125.424","19652","412.39","428.65","428.65","1270","47","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:28:19.5214984+00:00","130.433","19652","412.65","428.89","428.89","1270","47","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:28:24.5422989+00:00","135.454","19652","412.79","429.02","429.02","1270","47","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:28:29.5564145+00:00","140.468","19652","413.84","430.06","430.06","1270","47","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:28:34.5639528+00:00","145.476","19652","414.05","430.28","430.28","1264","46","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:28:39.5794209+00:00","150.491","19652","414.32","430.53","430.53","1264","46","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:28:44.5953408+00:00","155.507","19652","414.75","430.97","430.97","1266","47","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:28:49.6117527+00:00","160.524","19652","415.28","431.47","431.47","1270","47","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:28:54.6290251+00:00","165.541","19652","415.8","432","432","1270","47","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:28:59.6434002+00:00","170.555","19652","416.07","432.27","432.27","1270","47","5000","13","240","48","253","0","5","239","14","2117324","0"
"2026-09-09T20:29:04.6585347+00:00","175.57","19652","416.07","432.25","432.27","1270","47","5000","13","240","48","253","0","5","239","14","2117324","0"
